Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2019242	5.5	0.954986429250818	11.53297	0.7636057219677751	0	0.2266138	7.95453	0.6007356543037737	73.65228	398.201586186271	3.85564	-0.24325000000000002	-0.0505	-10	1	-999	-999
2019242	6	0.840576320679025	11.88434	0.7854412838107163	0	3.36452	8.950492	0.6458773260873069	73.66012	399.469789082015	4.367121	-0.21625	-0.0265	-10	1	-999	-999
2019242	6.5	1.57034433745133	13.29749	0.8738010428842866	0	15.31993	10.23563	0.7139666737395146	73.67819	396.172897214406	5.08119	-0.07325	0.11675	-10	1	-999	-999
2019242	7	1.53354224957982	13.53232	0.8779753889153828	0	43.58366	11.6214	0.7745948245026435	73.6859	395.212635434163	5.8359499999999995	0.050499999999999996	0.24100000000000002	-10	1	-999	-999
2019242	7.5	1.34860649558822	13.61862	0.8420195254584605	0	41.36607	12.51268	0.7833470075438737	73.67778	394.103065927503	6.298215	0.08375	0.27449999999999997	-10	1	-999	-999
2019242	8	1.65668879859404	14.09127	0.8710360494316732	0	78.02861	13.92268	0.8615676046283408	73.68845	393.03173562344	6.96809	0.013500000000000003	0.20725	-10	1	-999	-999
2019242	8.5	1.23586072766694	14.31602	0.8929393889433029	0	125.9538	16.11077	1.0020375470032934	73.68631	392.812559219692	8.019385	-0.072	0.12425	-10	1	-999	-999
2019242	9	2.04697643925015	15.01038	0.9491874344429965	0	170.9534	18.5669	1.1894885246367835	73.67244	391.608919093382	9.2562	-0.05450000000000001	0.14125000000000001	-10	1	-999	-999
2019242	9.5	1.79797364417147	15.55893	0.9946724032543927	0	186.7132	19.86619	1.3047869670138939	73.68416	391.146277711862	9.939845	0.013500000000000002	0.20650000000000002	-10	1	-999	-999
2019242	10	1.50054790922578	15.91631	1.0520363197186975	0	162.5264	19.339	1.305402547155403	73.69524	390.772897545889	9.692375	0.045750000000000006	0.23775000000000002	-10	1	-999	-999
2019242	10.5	1.4632946207129	17.39695	1.2673844590142804	0	299.2259	23.83898	1.8850899581052358	73.68666	390.958153858736	11.928365	0.017750000000000005	0.21175	-10	1	-999	-999
2019242	11	1.77437325099722	18.91136	1.4745857190101723	0	394.2761	30.56653	2.9593478277824783	73.66691	392.258274374398	15.27189	-0.022750000000000003	0.17124999999999999	-10	1	-999	-999
2019242	11.5	1.75739181139274	20.48668	1.7189990843622938	0	669.6552	41.62648	5.748001085304485	73.65237	392.737049931689	20.86524	0.104	0.291	-10	1	-999	-999
2019242	12	1.70966155031245	21.20905	1.7463809859298616	0	583.6306	44.6303	6.536139848935746	73.63455	392.917723446037	22.463275	0.29625	0.47700000000000004	-10	1	-999	-999
2019242	12.5	1.34831602710528	19.63523	1.692100939635623	0	417.8358	35.72222	4.33644745906902	73.6295	392.395948525323	18.168485	0.61475	0.7885	-10	1	-999	-999
2019242	13	1.72650786966637	22.1157	2.138414791489362	0	685.9014	47.12295	8.605103072680269	73.59994	393.689503972774	24.232100000000003	1.34125	1.5005	-10	1	-999	-999
2019242	13.5	1.82698243619063	22.85246	2.243210935678826	0	654.6571	47.46706	8.783911490340715	73.581	394.432104913006	24.46003	1.453	1.608	-10	1	-999	-999
2019242	14	2.34691411411183	22.38812	2.1820400680649152	0	631.0792	46.32021	8.289717566762516	73.57378	394.481088951361	23.734605000000002	1.149	1.3145	-10	1	-999	-999
2019242	14.5	1.57561117260986	22.26872	2.131382145650737	0	458.9059	41.9887	6.513143854142228	73.55944	394.986214789694	21.13735	0.286	0.4775	-10	1	-999	-999
2019242	15	1.3420862454233	22.17625	2.138642202707187	0	383.5522	37.86536	5.271163419132145	73.5522	394.750077138881	19.161805	0.45825	0.65325	-10	1	-999	-999
2019242	15.5	2.36890920299408	20.30907	1.6274543917096391	0	244.7734	32.44141	3.331326391990523	73.57822	393.976478739175	16.26333	0.08524999999999999	0.29575	-10	1	-999	-999
2019242	16	2.07977562955362	18.19734	1.4685990458024532	0	127.2301	25.08551	2.2379414101285215	73.61137	392.158657874243	12.540754999999999	-0.004000000000000007	0.2105	-10	1	-999	-999
2019242	16.5	1.18395743950374	18.78878	1.5144023879433974	0	111.2974	23.47327	2.018962730131404	73.59408	392.158657874243	11.55476	-0.36375	-0.13674999999999998	-10	1	-999	-999
2019242	17	1.78178747805279	16.41383	1.0386496057805974	0	76.48018	16.47613	1.0427743828177487	73.64503	392.158657874243	7.885440000000001	-0.7052499999999999	-0.46625	-10	1	-999	-999
2019242	17.5	1.91020395734724	16.17419	1.016271335601175	0	77.29585	17.63054	1.114566933814964	73.66578	390.340837009311	8.318895	-0.99275	-0.744	-10	1	-999	-999
2019242	18	0.715955911717396	16.26195	1.042740307926999	0	45.54512	18.12175	1.1729159416497852	73.68344	390.576155244818	8.565999999999999	-0.98975	-0.7364999999999999	-10	1	-999	-999
2019242	18.5	1.28423271329239	15.84081	0.8849540593533298	0	31.80525	16.10818	0.9001912381481648	73.71156	391.058332026029	7.557715	-0.99275	-0.7262500000000001	-10	1	-999	-999
2019242	19	0.406552019470813	14.36558	0.7526451008455569	0	4.847159	13.45462	0.7094505110429066	73.68056	391.662655947082	6.19081	-1.073	-0.791	-10	1	-999	-999
2019242	19.5	0.68116507359007	13.29557	0.6736287075458199	0	0.0992383	10.01693	0.5424908943934744	73.68993	392.257272898784	4.517215	-0.9825	-0.68425	-10	1	-999	-999
2019242	20	0.487018572284223	12.73189	0.6361419095682601	0	0.05283919	8.613021	0.48362436381472174	73.70284	393.950932041859	3.8116355	-0.98975	-0.67575	-10	1	-999	-999
