Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec	xylenScalar
2019056	1	NA	NA	NA	0	NA	NA	NA	72.4	519.367	NA	NaN	NaN	-10	0	-999	-999	1
2019056	1.5	NA	NA	NA	0	NA	NA	NA	72.4	519.9389	NA	NaN	NaN	-10	0	-999	-999	1
2019056	2	NA	NA	NA	0	NA	NA	NA	72.4	518.9749	NA	NaN	NaN	-10	0	-999	-999	1
2019056	2.5	NA	NA	NA	0	NA	NA	NA	72.4	517.8729	NA	NaN	NaN	-10	0	-999	-999	1
2019056	3	NA	NA	NA	0	NA	NA	NA	72.4	517.4315	NA	NaN	NaN	-10	0	-999	-999	1
2019056	3.5	NA	NA	NA	0	NA	NA	NA	72.4	517.6064	NA	NaN	NaN	-10	0	-999	-999	1
2019056	4	NA	NA	NA	0	NA	NA	NA	72.4	517.7717	NA	NaN	NaN	-10	0	-999	-999	1
2019056	4.5	NA	NA	NA	0	NA	NA	NA	72.4	518.7584	NA	NaN	NaN	-10	0	-999	-999	1
2019056	5	NA	NA	NA	0	NA	NA	NA	72.4	517.9644	NA	NaN	NaN	-10	0	-999	-999	1
2019056	5.5	NA	NA	NA	0	NA	NA	NA	72.4	517.4088	NA	NaN	NaN	-10	0	-999	-999	1
2019056	6	NA	NA	NA	0	NA	NA	NA	72.4	517.2094	NA	NaN	NaN	-10	0	-999	-999	1
2019056	6.5	NA	NA	NA	0	NA	NA	NA	72.4	518.0107	NA	NaN	NaN	-10	0	-999	-999	1
2019056	7	NA	NA	NA	0	NA	NA	NA	72.4	518.8467	NA	NaN	NaN	-10	0	-999	-999	1
2019056	7.5	NA	NA	NA	0	NA	NA	NA	72.4	518.4325	NA	NaN	NaN	-10	0	-999	-999	1
2019056	8	NA	NA	NA	0	NA	NA	NA	72.4	516.6821	NA	NaN	NaN	-10	0	-999	-999	1
2019056	8.5	NA	NA	NA	0	NA	NA	NA	72.4	515.6914	NA	NaN	NaN	-10	0	-999	-999	1
2019056	9	NA	NA	NA	0	NA	NA	NA	72.4	513.8655	NA	NaN	NaN	-10	0	-999	-999	1
2019056	9.5	NA	NA	NA	0	NA	NA	NA	72.4	512.7069	NA	NaN	NaN	-10	0	-999	-999	1
2019056	10	NA	NA	NA	0	NA	NA	NA	72.4	512.0864	NA	NaN	NaN	-10	0	-999	-999	1
2019056	10.5	NA	NA	NA	0	NA	NA	NA	72.4	511.2458	NA	NaN	NaN	-10	0	-999	-999	1
2019056	11	NA	NA	NA	0	NA	NA	NA	72.4	510.9676	NA	NaN	NaN	-10	0	-999	-999	1
2019056	11.5	NA	NA	NA	0	NA	NA	NA	72.4	509.4135	NA	NaN	NaN	-10	0	-999	-999	1
2019056	12	NA	NA	NA	0	NA	NA	NA	72.4	509.3528	NA	NaN	NaN	-10	0	-999	-999	1
2019056	12.5	NA	NA	NA	0	NA	NA	NA	72.4	507.5855	NA	NaN	NaN	-10	0	-999	-999	1
2019056	13	NA	NA	NA	0	NA	NA	NA	72.4	506.4879	NA	NaN	NaN	-10	0	-999	-999	1
